subject,Train_control_likely,train_snake_unlikely,vera_train_likely,train_control_unlikely,vera_likely_no1_list1_a_PRO,answer_likely_1_how_MO_political,conn_likely_zebra_both,vera_likely_5_list1_b_pp,conn_likely_echidna_both,answer_likely_1_where_MO_fido,conn_likely_dacker_both,vera_likely_9_list1_c_tp,conn_likely_cow_both,answer_likely_1_who_MO_vacation,conn_likely_sugarglider_both,vera_likely_10_list1_a_PRO,conn_likely_giraffe_both,answer_likely_1_how_MO_petra,conn_likely_axolotl_both,vera_likely_14_list1_b_pp,conn_likely_bosa_both,answer_likely_1_where_MO_chocolate,conn_likely_fish_both,vera_likely_18_list1_c_tp,conn_likely_eurypterid_both,answer_likely_1_who_MO_office,conn_likely_butterfly_both,vera_likely_19_list1_a_PRO,conn_likely_lungfish_both,answer_likely_1_how_MO_college,conn_likely_chisop_both,vera_likely_23_list1_b_pp,conn_likely_skunk_both,answer_likely_1_where_MO_hideseek,conn_likely_cuttlefish_both,vera_likely_27_list1_c_tp,conn_likely_bear_both,answer_likely_1_who_MO_customer,conn_likely_pangolin_both,vera_likely_28_list1_a_PRO,conn_likely_jottie_both,answer_likely_1_how_MO_holywood,conn_likely_cat_both,vera_likely_32_list1_b_pp,answer_likely_1_who_MO_intern,conn_likely_tapir_both,vera_likely_36_list1_c_tp,answer_likely_1_where_MO_lights,Did you find this task difficult? Why or why not?,Anything else you'd like to tell us?
A1LZNQ6Q5JNTZE,4,2,5,2,5,3,3,1,1,3,1,1,2,2,1,4,3,2,2,1,1,3,3,1,1,3,2,3,1,3,1,2,3,2,2,3,3,2,3,2,1,2,2,1,3,1,1,1,No,None
ARWF605I7RWM7,5,2,5,0,0,4,0,0,1,4,4,0,0,4,4,1,0,4,4,0,4,4,4,0,3,4,0,0,1,4,4,0,2,4,3,0,1,4,1,0,4,4,0,0,4,2,0,4,"It is in the middle. Not too difficult, but not too easy. This is my personal opinion.",
A1J19UOHNI0UOC,5,2,5,0,5,5,0,0,1,5,1,0,0,5,1,3,0,5,1,3,1,5,1,0,1,5,0,0,1,5,1,0,0,5,1,0,0,5,1,1,1,5,0,0,5,1,0,5,No. The only thing I found myself questioning was some of the pictures of things that had names that I was unfamiliar with.,"I did also vaguely question whether or not when asked how likely it would be to find the item that looked like that if an inanimate item would have counted, like a stuffed animal."
A3TUCOUVSP9ZGY,5,0,5,5,5,5,0,0,0,5,0,0,0,5,0,5,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,5,0,5,0,0,5,0,0,5,"no, it seemed simple",thanks
A3A82EHCZOQ2CV,3,0,3,2,3,2,0,2,0,2,2,1,0,3,0,3,1,3,2,3,2,1,2,1,4,3,2,2,3,2,1,3,3,2,4,3,2,2,1,4,3,2,3,4,2,2,3,1,Not really self explantory,
ANNVWKERLZG9A,5,3,5,0,0,3,1,1,1,3,0,1,1,4,2,1,0,4,0,1,0,4,2,0,1,4,1,1,0,4,1,1,0,3,1,0,1,4,1,1,0,4,1,1,3,0,1,4,"No, it seemed pretty straightforward (and repetitive).",no
A3PIRKF57QSWMS,5,0,5,0,5,4,0,1,0,5,0,0,0,5,4,5,0,5,1,1,0,5,2,0,1,5,0,1,1,5,0,1,0,5,1,0,0,5,0,1,0,5,0,1,5,1,0,5,"Somewhat, most were pretty straightforward but others required thinking about different ways it could be understood.",no
A2HOUSKURBF8UA,5,1,5,0,0,2,0,0,0,2,0,0,0,2,0,5,0,2,0,0,0,2,2,0,1,2,0,0,1,3,1,0,0,2,0,0,0,2,1,0,1,2,0,0,2,1,0,2,yes because the accuracy of a person's response to a question is not included in the calculus of your presentation so it literally doesn't matter what the ACTUAL right choices would be - there's no way to know if the person you're asking me about KNOWS any of that,
A1Z1O6MMOB3UWW,5,0,5,1,4,4,0,3,0,5,0,1,0,5,0,5,0,4,0,4,0,5,4,1,0,5,0,2,0,5,0,4,0,5,0,3,0,5,0,4,0,5,0,1,5,0,2,4,a little- similar stories but some bolded sentences were ambiguous ,n/a- thanks
A3QNCW3LR2AVOV,5,1,5,1,1,4,0,1,1,4,2,0,0,5,2,5,0,4,0,0,0,4,1,1,0,3,2,0,0,5,0,1,0,5,2,0,1,4,0,1,0,5,0,1,5,0,1,5,No I just went with my feelings on the questions. Like did it make sense ?,Thank you good luck with your work
AAHZCL4LIPCBQ,5,0,5,5,5,5,0,0,0,5,0,0,0,5,0,5,0,3,0,0,0,4,5,5,0,5,5,0,0,5,0,0,0,5,0,0,0,5,0,5,0,5,5,0,5,0,0,5,NO,NO
A2XMFTY9WB05U6,5,0,5,2,5,3,0,1,0,3,2,0,0,3,1,3,1,3,1,2,4,3,4,0,4,3,0,3,5,4,5,0,0,4,4,0,0,3,3,1,3,5,0,0,4,4,0,4,"No, it was tricky with the animals because you could see them like that if someone were to paint them but in the natural evnironment most of them were outlandish!",NA
A2N8FYNKM133KF,4,0,0,2,5,0,0,3,0,5,3,3,0,5,5,4,0,4,3,1,3,5,1,4,0,4,0,5,2,0,0,0,0,5,0,0,0,3,0,5,0,3,0,3,3,0,0,3,sorta because some of them where hard to judge ,
ALQEBL8XKDCWC,5,2,5,2,5,4,0,1,0,4,2,1,0,4,1,3,0,4,3,3,1,4,3,3,1,4,1,4,2,4,1,3,0,4,2,3,0,4,0,5,1,4,0,3,4,0,2,4,This was not too difficult. I had a good understanding of what was being asked I believe.,
A18E16UFE351U6,5,0,5,0,1,4,0,0,0,5,2,0,0,4,4,2,0,2,4,0,1,2,4,1,2,4,0,0,0,2,0,0,0,4,2,1,0,3,0,0,3,3,0,0,3,3,0,4,The animal tasks weren't that difficult but the other question were because it's possible they could have been answered in a different way.,No other comments to add.
A2CWJRAEFZ44HU,5,0,5,2,0,4,0,0,0,4,0,0,0,5,3,0,0,5,2,0,0,5,4,0,3,4,0,0,0,5,0,0,0,5,0,0,0,5,0,5,0,5,0,0,5,0,0,5,just tedious. and sliders are trash,very underpaid
AP4FDDWBJW470,5,0,5,3,5,3,0,0,5,5,0,0,0,3,3,5,0,4,3,0,0,5,3,2,0,3,3,0,3,4,0,0,0,3,2,0,0,3,0,0,0,0,0,0,3,0,0,3,Easy and fun!,Great survey!
AYYBMS4XQJ9AP,5,0,5,1,5,5,0,5,0,5,2,1,0,4,4,3,0,4,4,1,3,5,1,0,3,4,0,0,1,4,3,1,0,4,0,1,0,5,0,3,2,5,0,1,4,0,1,5,no. the answers were mostly obvious aside from the objects/animals that appeared to be made up,no
A3D3NEQ158WUB0,5,0,5,4,5,4,0,1,0,4,0,0,0,4,2,5,0,3,0,1,0,3,2,1,0,3,0,2,0,3,0,1,0,4,1,1,0,3,0,1,0,4,0,1,4,1,0,4,"No, the answers seemed mostly easy to figure out.",thanks
A320BT7PLIQVZT,3,4,3,2,3,3,3,2,4,3,4,4,4,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,2,3,2,4,3,2,4,3,4,2,4,2,3,4,2,3,"no, It was enjoyable. ",interesting survey
A17WS5TP6OPH7R,5,0,5,1,5,4,0,2,0,4,3,2,0,4,4,5,0,4,3,5,3,3,1,0,2,2,0,5,0,4,3,3,1,5,4,0,0,4,0,5,3,4,0,1,5,0,0,3,"no, these all seemed like common sense type questions ",
A1KA64FR47O9FS,4,0,5,1,5,4,0,0,0,3,2,3,0,2,4,5,0,3,3,0,2,3,4,0,4,3,0,0,2,4,1,0,0,4,1,0,0,2,0,0,0,4,0,0,2,0,0,3,Yes since some of the phrasing was odd and I was unfamiliar with certain objects and colors of things.,Little lengthy for the pay rate
A3M877E9CGI09C,5,0,5,2,2,3,0,3,0,4,0,4,0,2,2,5,0,1,4,1,1,1,2,1,4,1,0,3,3,1,1,2,0,1,1,2,1,1,1,4,0,1,0,2,1,0,1,1,No. This was a very interesting study!,Interesting because of the logic of the groups of sentences...
AX8XE3GEOP5D,5,0,5,0,0,4,0,0,0,4,0,0,0,4,3,0,0,3,1,0,0,4,3,0,1,4,0,0,0,5,0,0,0,5,0,0,0,5,0,3,0,4,0,0,4,0,0,5,no..it just wasnt hard,no
AZLU5JWFIZVMD,5,0,5,1,5,4,0,1,0,4,4,2,0,4,3,5,0,1,3,2,3,2,3,2,2,3,2,3,4,3,3,3,0,4,3,3,1,3,0,3,2,3,0,3,3,4,3,3,Not really.  I find it easy to understand stuff.,nope
A3GWRDHAURRNK6,5,0,5,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,"Somewhat because of the wording ""an answer like..."". I suppose I could have answered those all 5/5 since all possible answers could have been ""like"" that one.",I enjoyed it. Good luck.
A1V9G7V6ZYACIR,5,0,5,3,0,4,0,1,0,4,0,1,0,4,2,1,0,3,0,1,0,2,3,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0,2,No because I was focused on how the english language flows with sentences and words. ,no
A2S3SV1LQTKJ8K,5,0,5,3,0,3,0,0,0,5,2,1,0,4,5,1,0,4,4,0,0,4,1,0,4,4,0,0,0,5,0,0,0,4,0,0,0,5,0,1,1,4,0,0,4,0,0,5,I did not find this task difficult because I used common sense and good reading skills to determine my answers.,This was a well structured and interesting study.
