subject,variable,likert,task,modal,wh,answer,story
A2VFEDAK5C1E1O,answer,1.0,likely,nomod,how,MO,political
A29AKJXQ248KNK,answer,2.0,likely,nomod,how,MO,political
A29TQSAJPLXZU7,answer,3.0,likely,nomod,how,MO,political
A3QVZ4SZB79D8W,answer,1.0,likely,nomod,how,MO,political
A17D6BK59S31BM,answer,2.0,likely,nomod,how,MO,political
A3EHDY67QENKPT,answer,2.0,likely,nomod,how,MO,political
A1LE6AUI3CJNIT,answer,3.0,likely,nomod,how,MO,political
A17K1CHOI773VZ,answer,4.0,likely,nomod,how,MO,political
A2YOVBJ9EXAI8W,answer,4.0,likely,nomod,how,MO,political
A2GB0RI43KU4Z,answer,3.0,likely,nomod,how,MO,political
A3RS7UCO7CQ74R,answer,5.0,likely,nomod,how,MO,political
A1GKD3NG1NNHRP,answer,4.0,likely,nomod,how,MO,political
A2RMJNF6IPI42F,answer,0.0,likely,nomod,how,MO,political
A3VP02KDUZIV0V,answer,3.0,likely,nomod,how,MO,political
A9WIOFVRSYW3L,answer,4.0,likely,nomod,how,MO,political
A3TCFIPOBRZZB3,answer,5.0,likely,nomod,how,MO,political
A2GOYSTIL3LOV1,answer,4.0,likely,nomod,how,MO,political
AY5OS6NZWVX22,answer,1.0,likely,nomod,how,MO,political
A32U64W0S9PUA3,answer,4.0,likely,nomod,how,MO,political
A2VFEDAK5C1E1O,answer,3.0,likely,nomod,where,MO,fido
A29AKJXQ248KNK,answer,4.0,likely,nomod,where,MO,fido
A29TQSAJPLXZU7,answer,3.0,likely,nomod,where,MO,fido
A3QVZ4SZB79D8W,answer,3.0,likely,nomod,where,MO,fido
A17D6BK59S31BM,answer,3.0,likely,nomod,where,MO,fido
A3EHDY67QENKPT,answer,1.0,likely,nomod,where,MO,fido
A1LE6AUI3CJNIT,answer,5.0,likely,nomod,where,MO,fido
A17K1CHOI773VZ,answer,1.0,likely,nomod,where,MO,fido
A2YOVBJ9EXAI8W,answer,4.0,likely,nomod,where,MO,fido
A2GB0RI43KU4Z,answer,3.0,likely,nomod,where,MO,fido
A3RS7UCO7CQ74R,answer,5.0,likely,nomod,where,MO,fido
A1GKD3NG1NNHRP,answer,3.0,likely,nomod,where,MO,fido
A2RMJNF6IPI42F,answer,2.0,likely,nomod,where,MO,fido
A3VP02KDUZIV0V,answer,3.0,likely,nomod,where,MO,fido
A9WIOFVRSYW3L,answer,4.0,likely,nomod,where,MO,fido
A3TCFIPOBRZZB3,answer,4.0,likely,nomod,where,MO,fido
A2GOYSTIL3LOV1,answer,4.0,likely,nomod,where,MO,fido
AY5OS6NZWVX22,answer,2.0,likely,nomod,where,MO,fido
A32U64W0S9PUA3,answer,4.0,likely,nomod,where,MO,fido
A2VFEDAK5C1E1O,answer,4.0,likely,nomod,who,MO,vacation
A29AKJXQ248KNK,answer,3.0,likely,nomod,who,MO,vacation
A29TQSAJPLXZU7,answer,3.0,likely,nomod,who,MO,vacation
A3QVZ4SZB79D8W,answer,2.0,likely,nomod,who,MO,vacation
A17D6BK59S31BM,answer,3.0,likely,nomod,who,MO,vacation
A3EHDY67QENKPT,answer,4.0,likely,nomod,who,MO,vacation
A1LE6AUI3CJNIT,answer,1.0,likely,nomod,who,MO,vacation
A17K1CHOI773VZ,answer,4.0,likely,nomod,who,MO,vacation
A2YOVBJ9EXAI8W,answer,4.0,likely,nomod,who,MO,vacation
A2GB0RI43KU4Z,answer,4.0,likely,nomod,who,MO,vacation
A3RS7UCO7CQ74R,answer,5.0,likely,nomod,who,MO,vacation
A1GKD3NG1NNHRP,answer,4.0,likely,nomod,who,MO,vacation
A2RMJNF6IPI42F,answer,1.0,likely,nomod,who,MO,vacation
A3VP02KDUZIV0V,answer,2.0,likely,nomod,who,MO,vacation
A9WIOFVRSYW3L,answer,4.0,likely,nomod,who,MO,vacation
A3TCFIPOBRZZB3,answer,5.0,likely,nomod,who,MO,vacation
A2GOYSTIL3LOV1,answer,3.0,likely,nomod,who,MO,vacation
AY5OS6NZWVX22,answer,2.0,likely,nomod,who,MO,vacation
A32U64W0S9PUA3,answer,5.0,likely,nomod,who,MO,vacation
A2VFEDAK5C1E1O,answer,2.0,likely,nomod,how,MO,petra
A29AKJXQ248KNK,answer,3.0,likely,nomod,how,MO,petra
A29TQSAJPLXZU7,answer,3.0,likely,nomod,how,MO,petra
A3QVZ4SZB79D8W,answer,3.0,likely,nomod,how,MO,petra
A17D6BK59S31BM,answer,2.0,likely,nomod,how,MO,petra
A3EHDY67QENKPT,answer,1.0,likely,nomod,how,MO,petra
A1LE6AUI3CJNIT,answer,2.0,likely,nomod,how,MO,petra
A17K1CHOI773VZ,answer,3.0,likely,nomod,how,MO,petra
A2YOVBJ9EXAI8W,answer,4.0,likely,nomod,how,MO,petra
A2GB0RI43KU4Z,answer,2.0,likely,nomod,how,MO,petra
A3RS7UCO7CQ74R,answer,4.0,likely,nomod,how,MO,petra
A1GKD3NG1NNHRP,answer,4.0,likely,nomod,how,MO,petra
A2RMJNF6IPI42F,answer,5.0,likely,nomod,how,MO,petra
A3VP02KDUZIV0V,answer,2.0,likely,nomod,how,MO,petra
A9WIOFVRSYW3L,answer,3.0,likely,nomod,how,MO,petra
A3TCFIPOBRZZB3,answer,5.0,likely,nomod,how,MO,petra
A2GOYSTIL3LOV1,answer,3.0,likely,nomod,how,MO,petra
AY5OS6NZWVX22,answer,2.0,likely,nomod,how,MO,petra
A32U64W0S9PUA3,answer,4.0,likely,nomod,how,MO,petra
A2VFEDAK5C1E1O,answer,2.0,likely,nomod,where,MO,chocolate
A29AKJXQ248KNK,answer,4.0,likely,nomod,where,MO,chocolate
A29TQSAJPLXZU7,answer,3.0,likely,nomod,where,MO,chocolate
A3QVZ4SZB79D8W,answer,3.0,likely,nomod,where,MO,chocolate
A17D6BK59S31BM,answer,3.0,likely,nomod,where,MO,chocolate
A3EHDY67QENKPT,answer,1.0,likely,nomod,where,MO,chocolate
A1LE6AUI3CJNIT,answer,4.0,likely,nomod,where,MO,chocolate
A17K1CHOI773VZ,answer,3.0,likely,nomod,where,MO,chocolate
A2YOVBJ9EXAI8W,answer,3.0,likely,nomod,where,MO,chocolate
A2GB0RI43KU4Z,answer,4.0,likely,nomod,where,MO,chocolate
A3RS7UCO7CQ74R,answer,1.0,likely,nomod,where,MO,chocolate
A1GKD3NG1NNHRP,answer,4.0,likely,nomod,where,MO,chocolate
A2RMJNF6IPI42F,answer,4.0,likely,nomod,where,MO,chocolate
A3VP02KDUZIV0V,answer,2.0,likely,nomod,where,MO,chocolate
A9WIOFVRSYW3L,answer,3.0,likely,nomod,where,MO,chocolate
A3TCFIPOBRZZB3,answer,4.0,likely,nomod,where,MO,chocolate
A2GOYSTIL3LOV1,answer,4.0,likely,nomod,where,MO,chocolate
AY5OS6NZWVX22,answer,3.0,likely,nomod,where,MO,chocolate
A32U64W0S9PUA3,answer,4.0,likely,nomod,where,MO,chocolate
A2VFEDAK5C1E1O,answer,2.0,likely,nomod,who,MO,office
A29AKJXQ248KNK,answer,3.0,likely,nomod,who,MO,office
A29TQSAJPLXZU7,answer,3.0,likely,nomod,who,MO,office
A3QVZ4SZB79D8W,answer,3.0,likely,nomod,who,MO,office
A17D6BK59S31BM,answer,3.0,likely,nomod,who,MO,office
A3EHDY67QENKPT,answer,3.0,likely,nomod,who,MO,office
A1LE6AUI3CJNIT,answer,1.0,likely,nomod,who,MO,office
A17K1CHOI773VZ,answer,2.0,likely,nomod,who,MO,office
A2YOVBJ9EXAI8W,answer,3.0,likely,nomod,who,MO,office
A2GB0RI43KU4Z,answer,4.0,likely,nomod,who,MO,office
A3RS7UCO7CQ74R,answer,4.0,likely,nomod,who,MO,office
A1GKD3NG1NNHRP,answer,2.0,likely,nomod,who,MO,office
A2RMJNF6IPI42F,answer,1.0,likely,nomod,who,MO,office
A3VP02KDUZIV0V,answer,2.0,likely,nomod,who,MO,office
A9WIOFVRSYW3L,answer,3.0,likely,nomod,who,MO,office
A3TCFIPOBRZZB3,answer,4.0,likely,nomod,who,MO,office
A2GOYSTIL3LOV1,answer,3.0,likely,nomod,who,MO,office
AY5OS6NZWVX22,answer,1.0,likely,nomod,who,MO,office
A32U64W0S9PUA3,answer,4.0,likely,nomod,who,MO,office
A2VFEDAK5C1E1O,answer,2.0,likely,nomod,how,MO,college
A29AKJXQ248KNK,answer,3.0,likely,nomod,how,MO,college
A29TQSAJPLXZU7,answer,3.0,likely,nomod,how,MO,college
A3QVZ4SZB79D8W,answer,4.0,likely,nomod,how,MO,college
A17D6BK59S31BM,answer,3.0,likely,nomod,how,MO,college
A3EHDY67QENKPT,answer,4.0,likely,nomod,how,MO,college
A1LE6AUI3CJNIT,answer,3.0,likely,nomod,how,MO,college
A17K1CHOI773VZ,answer,3.0,likely,nomod,how,MO,college
A2YOVBJ9EXAI8W,answer,3.0,likely,nomod,how,MO,college
A2GB0RI43KU4Z,answer,4.0,likely,nomod,how,MO,college
A3RS7UCO7CQ74R,answer,4.0,likely,nomod,how,MO,college
A1GKD3NG1NNHRP,answer,3.0,likely,nomod,how,MO,college
A2RMJNF6IPI42F,answer,2.0,likely,nomod,how,MO,college
A3VP02KDUZIV0V,answer,3.0,likely,nomod,how,MO,college
A9WIOFVRSYW3L,answer,3.0,likely,nomod,how,MO,college
A3TCFIPOBRZZB3,answer,3.0,likely,nomod,how,MO,college
A2GOYSTIL3LOV1,answer,4.0,likely,nomod,how,MO,college
AY5OS6NZWVX22,answer,0.0,likely,nomod,how,MO,college
A32U64W0S9PUA3,answer,2.0,likely,nomod,how,MO,college
A2VFEDAK5C1E1O,answer,1.0,likely,nomod,where,MO,hideseek
A29AKJXQ248KNK,answer,5.0,likely,nomod,where,MO,hideseek
A29TQSAJPLXZU7,answer,3.0,likely,nomod,where,MO,hideseek
A3QVZ4SZB79D8W,answer,4.0,likely,nomod,where,MO,hideseek
A17D6BK59S31BM,answer,2.0,likely,nomod,where,MO,hideseek
A3EHDY67QENKPT,answer,1.0,likely,nomod,where,MO,hideseek
A1LE6AUI3CJNIT,answer,5.0,likely,nomod,where,MO,hideseek
A17K1CHOI773VZ,answer,3.0,likely,nomod,where,MO,hideseek
A2YOVBJ9EXAI8W,answer,4.0,likely,nomod,where,MO,hideseek
A2GB0RI43KU4Z,answer,4.0,likely,nomod,where,MO,hideseek
A3RS7UCO7CQ74R,answer,4.0,likely,nomod,where,MO,hideseek
A1GKD3NG1NNHRP,answer,4.0,likely,nomod,where,MO,hideseek
A2RMJNF6IPI42F,answer,2.0,likely,nomod,where,MO,hideseek
A3VP02KDUZIV0V,answer,2.0,likely,nomod,where,MO,hideseek
A9WIOFVRSYW3L,answer,3.0,likely,nomod,where,MO,hideseek
A3TCFIPOBRZZB3,answer,2.0,likely,nomod,where,MO,hideseek
A2GOYSTIL3LOV1,answer,4.0,likely,nomod,where,MO,hideseek
AY5OS6NZWVX22,answer,2.0,likely,nomod,where,MO,hideseek
A32U64W0S9PUA3,answer,5.0,likely,nomod,where,MO,hideseek
A2VFEDAK5C1E1O,answer,2.0,likely,nomod,who,MO,customer
A29AKJXQ248KNK,answer,4.0,likely,nomod,who,MO,customer
A29TQSAJPLXZU7,answer,3.0,likely,nomod,who,MO,customer
A3QVZ4SZB79D8W,answer,3.0,likely,nomod,who,MO,customer
A17D6BK59S31BM,answer,3.0,likely,nomod,who,MO,customer
A3EHDY67QENKPT,answer,1.0,likely,nomod,who,MO,customer
A1LE6AUI3CJNIT,answer,1.0,likely,nomod,who,MO,customer
A17K1CHOI773VZ,answer,2.0,likely,nomod,who,MO,customer
A2YOVBJ9EXAI8W,answer,4.0,likely,nomod,who,MO,customer
A2GB0RI43KU4Z,answer,4.0,likely,nomod,who,MO,customer
A3RS7UCO7CQ74R,answer,3.0,likely,nomod,who,MO,customer
A1GKD3NG1NNHRP,answer,3.0,likely,nomod,who,MO,customer
A2RMJNF6IPI42F,answer,2.0,likely,nomod,who,MO,customer
A3VP02KDUZIV0V,answer,2.0,likely,nomod,who,MO,customer
A9WIOFVRSYW3L,answer,3.0,likely,nomod,who,MO,customer
A3TCFIPOBRZZB3,answer,5.0,likely,nomod,who,MO,customer
A2GOYSTIL3LOV1,answer,2.0,likely,nomod,who,MO,customer
AY5OS6NZWVX22,answer,3.0,likely,nomod,who,MO,customer
A32U64W0S9PUA3,answer,5.0,likely,nomod,who,MO,customer
A2VFEDAK5C1E1O,answer,1.0,likely,nomod,how,MO,holywood
A29AKJXQ248KNK,answer,3.0,likely,nomod,how,MO,holywood
A29TQSAJPLXZU7,answer,3.0,likely,nomod,how,MO,holywood
A3QVZ4SZB79D8W,answer,4.0,likely,nomod,how,MO,holywood
A17D6BK59S31BM,answer,3.0,likely,nomod,how,MO,holywood
A3EHDY67QENKPT,answer,0.0,likely,nomod,how,MO,holywood
A1LE6AUI3CJNIT,answer,5.0,likely,nomod,how,MO,holywood
